date,index,price,lm_unemployment,lm_fed_rate,lm_cpi
Oct-85,439,115.48,7.1,7.92,108.1
Nov-85,438,126.06,7.1,7.99,108.5
Dec-85,437,132.29,7,8.05,109
Jan-86,436,132.93,7,8.27,109.5
Feb-86,435,140.43,6.7,8.14,109.9
Mar-86,434,148.86,7.2,7.86,109.7
Apr-86,433,154.91,7.2,7.48,109.1
May-86,432,163.16,7.1,6.99,108.7
Jun-86,431,162.62,7.2,6.85,109
Jul-86,430,144.71,7.2,6.92,109.4
Aug-86,429,151.7,7,6.56,109.5
Sep-86,428,137.5,6.9,6.17,109.6
Oct-86,427,144.48,7,5.89,110
Nov-86,426,147.94,7,5.85,110.2
Dec-86,425,141.41,6.9,6.04,110.4
Jan-87,424,166.68,6.6,6.91,110.8
Feb-87,423,182.75,6.6,6.43,111.4
Mar-87,422,186.04,6.6,6.1,111.8
Apr-87,421,184.83,6.6,6.13,112.2
May-87,420,188.77,6.3,6.37,112.7
Jun-87,419,189.24,6.3,6.85,113
Jul-87,418,196.35,6.2,6.73,113.5
Aug-87,417,209.57,6.1,6.58,113.8
Sep-87,416,205.5,6,6.73,114.3
Oct-87,415,150.07,5.9,7.22,114.7
Nov-87,414,137.12,6,7.29,115
Dec-87,413,156.25,5.8,6.69,115.4
Jan-88,412,159.13,5.7,6.77,115.6
Feb-88,411,172.64,5.7,6.83,116
Mar-88,410,173.26,5.7,6.58,116.2
Apr-88,409,175.92,5.7,6.58,116.5
May-88,408,173.34,5.4,6.87,117.2
Jun-88,407,189.03,5.6,7.09,117.5
Jul-88,406,181.16,5.4,7.51,118
Aug-88,405,171,5.4,7.75,118.5
Sep-88,404,179.37,5.6,8.01,119
Oct-88,403,174.78,5.4,8.19,119.5
Nov-88,402,169.19,5.4,8.3,119.9
Dec-88,401,177.41,5.3,8.35,120.3
Jan-89,400,186.47,5.3,8.76,120.7
Feb-89,399,183.79,5.4,9.12,121.2
Mar-89,398,185.87,5.2,9.36,121.6
Apr-89,397,200.47,5,9.85,122.2
May-89,396,214.54,5.2,9.84,123.1
Jun-89,395,204.59,5.2,9.81,123.7
Jul-89,394,214.28,5.3,9.53,124.1
Aug-89,393,222,5.2,9.24,124.5
Sep-89,392,226.41,5.2,8.99,124.5
Oct-89,391,222.62,5.3,9.02,124.8
Nov-89,390,224.44,5.3,8.84,125.4
Dec-89,389,223.84,5.4,8.55,125.9
Jan-90,388,201.94,5.4,8.45,126.3
Feb-90,387,207.91,5.4,8.23,127.5
Mar-90,386,213.15,5.3,8.24,128
Apr-90,385,205.81,5.2,8.28,128.6
May-90,384,236.15,5.4,8.26,128.9
Jun-90,383,238.46,5.4,8.18,129.1
Jul-90,382,223.38,5.2,8.29,129.9
Aug-90,381,193.62,5.5,8.15,130.5
Sep-90,380,177.06,5.7,8.13,131.6
Oct-90,379,172.56,5.9,8.2,132.5
Nov-90,378,192.66,5.9,8.11,133.4
Dec-90,377,200.53,6.2,7.81,133.7
Jan-91,376,232.43,6.3,7.31,134.2
Feb-91,375,250.12,6.4,6.91,134.7
Mar-91,374,264.9,6.6,6.25,134.8
Apr-91,373,263.65,6.8,6.12,134.8
May-91,372,279,6.7,5.91,135.1
Jun-91,371,254.19,6.9,5.78,135.6
Jul-91,370,272.15,6.9,5.9,136
Aug-91,369,287.4,6.8,5.82,136.2
Sep-91,368,287.54,6.9,5.66,136.6
Oct-91,367,292.5,6.9,5.45,137
Nov-91,366,284.79,7,5.21,137.2
Dec-91,365,330.86,7,4.81,137.8
Jan-92,364,338.31,7.3,4.43,138.2
Feb-92,363,345.88,7.3,4.03,138.3
Mar-92,362,323.05,7.4,4.06,138.6
Apr-92,361,307.86,7.4,3.98,139.1
May-92,360,315.3,7.4,3.73,139.4
Jun-92,359,301.23,7.6,3.82,139.7
Jul-92,358,310.89,7.8,3.76,140.1
Aug-92,357,299.26,7.7,3.25,140.5
Sep-92,356,313.19,7.6,3.3,140.8
Oct-92,355,329.15,7.6,3.22,141.1
Nov-92,354,350.96,7.3,3.1,141.7
Dec-92,353,360.19,7.4,3.09,142.1
Jan-93,352,370.56,7.4,2.92,142.3
Feb-93,351,351.14,7.3,3.02,142.8
Mar-93,350,359.42,7.1,3.03,143.1
Apr-93,349,339.94,7,3.07,143.3
May-93,348,368.11,7.1,2.96,143.8
Jun-93,347,366.12,7.1,3,144.2
Jul-93,346,352.87,7,3.04,144.3
Aug-93,345,372.65,6.9,3.06,144.5
Sep-93,344,382.71,6.8,3.03,144.8
Oct-93,343,390.99,6.7,3.09,145
Nov-93,342,386.76,6.8,2.99,145.6
Dec-93,341,398.28,6.6,3.02,146
Jan-94,340,413.99,6.5,2.96,146.3
Feb-94,339,412.17,6.6,3.05,146.3
Mar-94,338,382.96,6.6,3.25,146.7
Apr-94,337,373.25,6.5,3.34,147.1
May-94,336,378.85,6.4,3.56,147.2
Jun-94,335,360.3,6.1,4.01,147.5
Jul-94,334,370.16,6.1,4.25,147.9
Aug-94,333,397.9,6.1,4.26,148.4
Sep-94,332,393.85,6,4.47,149
Oct-94,331,413.05,5.9,4.73,149.3
Nov-94,330,404.82,5.8,4.76,149.4
Dec-94,329,404.27,5.6,5.29,149.8
Jan-95,328,405.33,5.5,5.45,150.1
Feb-95,327,432.5,5.6,5.53,150.5
Mar-95,326,447.15,5.4,5.92,150.9
Apr-95,325,469.56,5.4,5.98,151.2
May-95,324,488.1,5.8,6.05,151.8
Jun-95,323,538.03,5.6,6.01,152.1
Jul-95,322,568.88,5.6,6,152.4
Aug-95,321,576.77,5.7,5.85,152.6
Sep-95,320,585.08,5.7,5.74,152.9
Oct-95,319,598.78,5.6,5.8,153.1
Nov-95,318,593.72,5.5,5.76,153.5
Dec-95,317,576.23,5.6,5.8,153.7
Jan-96,316,591.82,5.6,5.6,153.9
Feb-96,315,622.83,5.6,5.56,154.7
Mar-96,314,609.69,5.5,5.22,155
Apr-96,313,666.73,5.5,5.31,155.5
May-96,312,692.39,5.6,5.22,156.1
Jun-96,311,677.3,5.6,5.24,156.4
Jul-96,310,636.01,5.3,5.27,156.7
Aug-96,309,663.57,5.5,5.4,157
Sep-96,308,737.58,5.1,5.22,157.2
Oct-96,307,751.99,5.2,5.3,157.7
Nov-96,306,834.01,5.2,5.24,158.2
Dec-96,305,821.36,5.4,5.31,158.7
Jan-97,304,921.55,5.4,5.29,159.1
Feb-97,303,850.46,5.3,5.25,159.4
Mar-97,302,797.06,5.2,5.19,159.7
Apr-97,301,874.74,5.2,5.39,159.8
May-97,300,958.85,5.1,5.51,159.9
Jun-97,299,957.3,4.9,5.5,159.9
Jul-97,298,1107.03,5,5.56,160.2
Aug-97,297,1074.17,4.9,5.52,160.4
Sep-97,296,1097.17,4.8,5.54,160.8
Oct-97,295,1019.62,4.9,5.54,161.2
Nov-97,294,1050.51,4.7,5.5,161.5
Dec-97,293,990.8,4.6,5.52,161.7
Jan-98,292,1071.13,4.7,5.5,161.8
Feb-98,291,1194.13,4.6,5.56,162
Mar-98,290,1220.66,4.6,5.51,162
Apr-98,289,1248.12,4.7,5.49,162
May-98,288,1192.07,4.3,5.45,162.2
