date,price,index,lm_fed_rate,lm_unemployment,lm_cpi
Jan-70,85.02,628,8.98,3.5,37.7
Feb-70,89.5,627,8.98,3.9,37.9
Mar-70,89.63,626,8.98,4.2,38.1
Apr-70,81.52,625,7.76,4.4,38.3
May-70,76.55,624,8.1,4.6,38.5
Jun-70,72.72,623,7.95,4.8,38.6
Jul-70,78.05,622,7.61,4.9,38.8
Aug-70,81.52,621,7.21,5,38.9
Sep-70,84.3,620,6.62,5.1,39
Oct-70,83.25,619,6.29,5.4,39.2
Nov-70,87.2,618,6.2,5.5,39.4
Dec-70,92.15,617,5.6,5.9,39.6
Jan-71,95.88,616,4.9,6.1,39.8
Feb-71,96.75,615,4.14,5.9,39.9
Mar-71,100.31,614,3.72,5.9,39.9
Apr-71,103.95,613,3.71,6,40
May-71,99.63,612,4.16,5.9,40.1
Jun-71,98.7,611,4.63,5.9,40.3
Jul-71,95.58,610,4.91,5.9,40.5
Aug-71,99.03,609,5.31,6,40.6
Sep-71,98.34,608,5.57,6.1,40.7
Oct-71,94.23,607,5.55,6,40.8
Nov-71,93.99,606,5.2,5.8,40.9
Dec-71,102.09,605,4.91,6,41
Jan-72,103.94,604,4.14,6,41.1
Feb-72,106.57,603,3.51,5.8,41.2
Mar-72,107.2,602,3.3,5.7,41.4
Apr-72,107.67,601,3.83,5.8,41.4
May-72,109.53,600,4.17,5.7,41.5
Jun-72,107.14,599,4.27,5.7,41.6
Jul-72,107.39,598,4.46,5.7,41.7
Aug-72,111.09,597,4.55,5.6,41.8
Sep-72,110.55,596,4.81,5.6,41.9
Oct-72,111.58,595,4.87,5.5,42.1
Nov-72,116.67,594,5.05,5.6,42.2
Dec-72,118.05,593,5.06,5.3,42.4
Jan-73,116.03,592,5.33,5.2,42.5
Feb-73,111.68,591,5.94,4.9,42.7
Mar-73,111.52,590,6.58,5,43
Apr-73,106.97,589,7.09,4.9,43.4
May-73,104.95,588,7.12,5,43.7
Jun-73,104.26,587,7.84,4.9,43.9
Jul-73,108.22,586,8.49,4.9,44.2
Aug-73,104.25,585,10.4,4.8,44.2
Sep-73,108.43,584,10.5,4.8,45
Oct-73,108.29,583,10.78,4.8,45.2
Nov-73,95.96,582,10.01,4.6,45.6
Dec-73,97.55,581,10.03,4.8,45.9
Jan-74,96.57,580,9.95,4.9,46.3
Feb-74,96.22,579,9.65,5.1,46.8
Mar-74,93.98,578,8.97,5.2,47.3
Apr-74,90.31,577,9.35,5.1,47.8
May-74,87.28,576,10.51,5.1,48.1
Jun-74,86,575,11.31,5.1,48.6
Jul-74,79.31,574,11.93,5.4,49
Aug-74,72.15,573,12.92,5.5,49.3
Sep-74,63.54,572,12.01,5.5,49.9
Oct-74,73.9,571,11.34,5.9,50.6
Nov-74,69.97,570,10.06,6,51
